Method,Return,Seed,Step,Task
LWTA,-106.0,0,27165,MountainCar-v0
LWTA,-107.0,0,27272,MountainCar-v0
LWTA,-109.0,0,27381,MountainCar-v0
LWTA,-122.0,0,27503,MountainCar-v0
LWTA,-141.0,0,27644,MountainCar-v0
LWTA,-88.0,0,27732,MountainCar-v0
LWTA,-90.0,0,27822,MountainCar-v0
LWTA,-88.0,0,27910,MountainCar-v0
LWTA,-110.0,0,28020,MountainCar-v0
LWTA,-152.0,0,28172,MountainCar-v0
LWTA,-176.0,0,28348,MountainCar-v0
LWTA,-115.0,0,28463,MountainCar-v0
LWTA,-112.0,0,28575,MountainCar-v0
LWTA,-158.0,0,28733,MountainCar-v0
LWTA,-148.0,0,28881,MountainCar-v0
LWTA,-121.0,0,29002,MountainCar-v0
LWTA,-139.0,0,29141,MountainCar-v0
LWTA,-116.0,0,29257,MountainCar-v0
LWTA,-144.0,0,29401,MountainCar-v0
LWTA,-141.0,0,29542,MountainCar-v0
LWTA,-149.0,0,29691,MountainCar-v0
LWTA,-142.0,0,29833,MountainCar-v0
LWTA,-120.0,0,29953,MountainCar-v0
LWTA,-173.0,0,30126,MountainCar-v0
LWTA,-170.0,0,30296,MountainCar-v0
LWTA,-150.0,0,30446,MountainCar-v0
LWTA,-147.0,0,30593,MountainCar-v0
LWTA,-141.0,0,30734,MountainCar-v0
LWTA,-144.0,0,30878,MountainCar-v0
LWTA,-156.0,0,31034,MountainCar-v0
LWTA,-145.0,0,31179,MountainCar-v0
LWTA,-158.0,0,31337,MountainCar-v0
LWTA,-153.0,0,31490,MountainCar-v0
LWTA,-162.0,0,31652,MountainCar-v0
LWTA,-185.0,0,31837,MountainCar-v0
LWTA,-166.0,0,32003,MountainCar-v0
LWTA,-148.0,0,32151,MountainCar-v0
LWTA,-166.0,0,32317,MountainCar-v0
LWTA,-165.0,0,32482,MountainCar-v0
LWTA,-152.0,0,32634,MountainCar-v0
LWTA,-208.0,0,32842,MountainCar-v0
LWTA,-153.0,0,32995,MountainCar-v0
LWTA,-181.0,0,33176,MountainCar-v0
LWTA,-161.0,0,33337,MountainCar-v0
LWTA,-142.0,0,33479,MountainCar-v0
LWTA,-144.0,0,33623,MountainCar-v0
LWTA,-151.0,0,33774,MountainCar-v0
LWTA,-157.0,0,33931,MountainCar-v0
LWTA,-113.0,0,34044,MountainCar-v0
LWTA,-141.0,0,34185,MountainCar-v0
LWTA,-90.0,0,34275,MountainCar-v0
LWTA,-97.0,0,34372,MountainCar-v0
LWTA,-136.0,0,34508,MountainCar-v0
LWTA,-149.0,0,34657,MountainCar-v0
LWTA,-118.0,0,34775,MountainCar-v0
LWTA,-142.0,0,34917,MountainCar-v0
LWTA,-157.0,0,35074,MountainCar-v0
LWTA,-144.0,0,35218,MountainCar-v0
LWTA,-180.0,0,35398,MountainCar-v0
LWTA,-119.0,0,35517,MountainCar-v0
LWTA,-148.0,0,35665,MountainCar-v0
LWTA,-115.0,0,35780,MountainCar-v0
LWTA,-150.0,0,35930,MountainCar-v0
LWTA,-89.0,0,36019,MountainCar-v0
LWTA,-155.0,0,36174,MountainCar-v0
LWTA,-145.0,0,36319,MountainCar-v0
LWTA,-212.0,0,36531,MountainCar-v0
LWTA,-149.0,0,36680,MountainCar-v0
LWTA,-149.0,0,36829,MountainCar-v0
LWTA,-147.0,0,36976,MountainCar-v0
LWTA,-161.0,0,37137,MountainCar-v0
LWTA,-147.0,0,37284,MountainCar-v0
LWTA,-166.0,0,37450,MountainCar-v0
LWTA,-179.0,0,37629,MountainCar-v0
LWTA,-118.0,0,37747,MountainCar-v0
LWTA,-109.0,0,37856,MountainCar-v0
LWTA,-187.0,0,38043,MountainCar-v0
LWTA,-168.0,0,38211,MountainCar-v0
LWTA,-162.0,0,38373,MountainCar-v0
LWTA,-209.0,0,38582,MountainCar-v0
LWTA,-165.0,0,38747,MountainCar-v0
LWTA,-115.0,0,38862,MountainCar-v0
LWTA,-160.0,0,39022,MountainCar-v0
LWTA,-113.0,0,39135,MountainCar-v0
LWTA,-175.0,0,39310,MountainCar-v0
LWTA,-150.0,0,39460,MountainCar-v0
LWTA,-189.0,0,39649,MountainCar-v0
LWTA,-266.0,0,39915,MountainCar-v0
LWTA,-94.0,0,40009,MountainCar-v0
LWTA,-146.0,0,40155,MountainCar-v0
LWTA,-108.0,0,40263,MountainCar-v0
LWTA,-154.0,0,40417,MountainCar-v0
LWTA,-147.0,0,40564,MountainCar-v0
LWTA,-157.0,0,40721,MountainCar-v0
LWTA,-142.0,0,40863,MountainCar-v0
LWTA,-243.0,0,41106,MountainCar-v0
LWTA,-150.0,0,41256,MountainCar-v0
LWTA,-178.0,0,41434,MountainCar-v0
