Method,Return,Seed,Step,Task
Elephant,-115.0,0,23294,MountainCar-v0
Elephant,-115.0,0,23409,MountainCar-v0
Elephant,-112.0,0,23521,MountainCar-v0
Elephant,-143.0,0,23664,MountainCar-v0
Elephant,-112.0,0,23776,MountainCar-v0
Elephant,-109.0,0,23885,MountainCar-v0
Elephant,-89.0,0,23974,MountainCar-v0
Elephant,-107.0,0,24081,MountainCar-v0
Elephant,-86.0,0,24167,MountainCar-v0
Elephant,-111.0,0,24278,MountainCar-v0
Elephant,-113.0,0,24391,MountainCar-v0
Elephant,-190.0,0,24581,MountainCar-v0
Elephant,-112.0,0,24693,MountainCar-v0
Elephant,-116.0,0,24809,MountainCar-v0
Elephant,-130.0,0,24939,MountainCar-v0
Elephant,-111.0,0,25050,MountainCar-v0
Elephant,-114.0,0,25164,MountainCar-v0
Elephant,-90.0,0,25254,MountainCar-v0
Elephant,-110.0,0,25364,MountainCar-v0
Elephant,-111.0,0,25475,MountainCar-v0
Elephant,-112.0,0,25587,MountainCar-v0
Elephant,-83.0,0,25670,MountainCar-v0
Elephant,-111.0,0,25781,MountainCar-v0
Elephant,-102.0,0,25883,MountainCar-v0
Elephant,-110.0,0,25993,MountainCar-v0
Elephant,-115.0,0,26108,MountainCar-v0
Elephant,-92.0,0,26200,MountainCar-v0
Elephant,-104.0,0,26304,MountainCar-v0
Elephant,-116.0,0,26420,MountainCar-v0
Elephant,-115.0,0,26535,MountainCar-v0
Elephant,-107.0,0,26642,MountainCar-v0
Elephant,-110.0,0,26752,MountainCar-v0
Elephant,-117.0,0,26869,MountainCar-v0
Elephant,-97.0,0,26966,MountainCar-v0
Elephant,-110.0,0,27076,MountainCar-v0
Elephant,-149.0,0,27225,MountainCar-v0
Elephant,-112.0,0,27337,MountainCar-v0
Elephant,-89.0,0,27426,MountainCar-v0
Elephant,-100.0,0,27526,MountainCar-v0
Elephant,-117.0,0,27643,MountainCar-v0
Elephant,-102.0,0,27745,MountainCar-v0
Elephant,-102.0,0,27847,MountainCar-v0
Elephant,-117.0,0,27964,MountainCar-v0
Elephant,-105.0,0,28069,MountainCar-v0
Elephant,-120.0,0,28189,MountainCar-v0
Elephant,-116.0,0,28305,MountainCar-v0
Elephant,-113.0,0,28418,MountainCar-v0
Elephant,-118.0,0,28536,MountainCar-v0
Elephant,-111.0,0,28647,MountainCar-v0
Elephant,-104.0,0,28751,MountainCar-v0
Elephant,-110.0,0,28861,MountainCar-v0
Elephant,-201.0,0,29062,MountainCar-v0
Elephant,-110.0,0,29172,MountainCar-v0
Elephant,-104.0,0,29276,MountainCar-v0
Elephant,-103.0,0,29379,MountainCar-v0
Elephant,-107.0,0,29486,MountainCar-v0
Elephant,-152.0,0,29638,MountainCar-v0
Elephant,-104.0,0,29742,MountainCar-v0
Elephant,-109.0,0,29851,MountainCar-v0
Elephant,-113.0,0,29964,MountainCar-v0
Elephant,-102.0,0,30066,MountainCar-v0
Elephant,-104.0,0,30170,MountainCar-v0
Elephant,-86.0,0,30256,MountainCar-v0
Elephant,-94.0,0,30350,MountainCar-v0
Elephant,-104.0,0,30454,MountainCar-v0
Elephant,-95.0,0,30549,MountainCar-v0
Elephant,-114.0,0,30663,MountainCar-v0
Elephant,-92.0,0,30755,MountainCar-v0
Elephant,-151.0,0,30906,MountainCar-v0
Elephant,-158.0,0,31064,MountainCar-v0
Elephant,-115.0,0,31179,MountainCar-v0
Elephant,-91.0,0,31270,MountainCar-v0
Elephant,-87.0,0,31357,MountainCar-v0
Elephant,-114.0,0,31471,MountainCar-v0
Elephant,-98.0,0,31569,MountainCar-v0
Elephant,-97.0,0,31666,MountainCar-v0
Elephant,-156.0,0,31822,MountainCar-v0
Elephant,-158.0,0,31980,MountainCar-v0
Elephant,-153.0,0,32133,MountainCar-v0
Elephant,-86.0,0,32219,MountainCar-v0
Elephant,-107.0,0,32326,MountainCar-v0
Elephant,-154.0,0,32480,MountainCar-v0
Elephant,-108.0,0,32588,MountainCar-v0
Elephant,-112.0,0,32700,MountainCar-v0
Elephant,-112.0,0,32812,MountainCar-v0
Elephant,-108.0,0,32920,MountainCar-v0
Elephant,-111.0,0,33031,MountainCar-v0
Elephant,-111.0,0,33142,MountainCar-v0
Elephant,-99.0,0,33241,MountainCar-v0
Elephant,-114.0,0,33355,MountainCar-v0
Elephant,-112.0,0,33467,MountainCar-v0
Elephant,-148.0,0,33615,MountainCar-v0
Elephant,-90.0,0,33705,MountainCar-v0
Elephant,-152.0,0,33857,MountainCar-v0
Elephant,-107.0,0,33964,MountainCar-v0
Elephant,-98.0,0,34062,MountainCar-v0
Elephant,-106.0,0,34168,MountainCar-v0
Elephant,-86.0,0,34254,MountainCar-v0
Elephant,-118.0,0,34372,MountainCar-v0
Elephant,-116.0,0,34488,MountainCar-v0
Elephant,-115.0,0,34603,MountainCar-v0
Elephant,-148.0,0,34751,MountainCar-v0
Elephant,-110.0,0,34861,MountainCar-v0
Elephant,-104.0,0,34965,MountainCar-v0
Elephant,-98.0,0,35063,MountainCar-v0
Elephant,-113.0,0,35176,MountainCar-v0
Elephant,-84.0,0,35260,MountainCar-v0
Elephant,-108.0,0,35368,MountainCar-v0
Elephant,-93.0,0,35461,MountainCar-v0
Elephant,-107.0,0,35568,MountainCar-v0
Elephant,-105.0,0,35673,MountainCar-v0
Elephant,-105.0,0,35778,MountainCar-v0
Elephant,-106.0,0,35884,MountainCar-v0
Elephant,-108.0,0,35992,MountainCar-v0
Elephant,-109.0,0,36101,MountainCar-v0
Elephant,-93.0,0,36194,MountainCar-v0
Elephant,-166.0,0,36360,MountainCar-v0
Elephant,-94.0,0,36454,MountainCar-v0
Elephant,-117.0,0,36571,MountainCar-v0
Elephant,-108.0,0,36679,MountainCar-v0
Elephant,-109.0,0,36788,MountainCar-v0
Elephant,-114.0,0,36902,MountainCar-v0
Elephant,-88.0,0,36990,MountainCar-v0
Elephant,-88.0,0,37078,MountainCar-v0
Elephant,-113.0,0,37191,MountainCar-v0
Elephant,-106.0,0,37297,MountainCar-v0
Elephant,-115.0,0,37412,MountainCar-v0
Elephant,-112.0,0,37524,MountainCar-v0
Elephant,-146.0,0,37670,MountainCar-v0
