Method,Return,Seed,Step,Task
ReLU,-90.0,0,28157,MountainCar-v0
ReLU,-148.0,0,28305,MountainCar-v0
ReLU,-156.0,0,28461,MountainCar-v0
ReLU,-88.0,0,28549,MountainCar-v0
ReLU,-144.0,0,28693,MountainCar-v0
ReLU,-100.0,0,28793,MountainCar-v0
ReLU,-145.0,0,28938,MountainCar-v0
ReLU,-177.0,0,29115,MountainCar-v0
ReLU,-185.0,0,29300,MountainCar-v0
ReLU,-175.0,0,29475,MountainCar-v0
ReLU,-166.0,0,29641,MountainCar-v0
ReLU,-157.0,0,29798,MountainCar-v0
ReLU,-145.0,0,29943,MountainCar-v0
ReLU,-142.0,0,30085,MountainCar-v0
ReLU,-126.0,0,30211,MountainCar-v0
ReLU,-146.0,0,30357,MountainCar-v0
ReLU,-198.0,0,30555,MountainCar-v0
ReLU,-164.0,0,30719,MountainCar-v0
ReLU,-148.0,0,30867,MountainCar-v0
ReLU,-149.0,0,31016,MountainCar-v0
ReLU,-155.0,0,31171,MountainCar-v0
ReLU,-146.0,0,31317,MountainCar-v0
ReLU,-155.0,0,31472,MountainCar-v0
ReLU,-96.0,0,31568,MountainCar-v0
ReLU,-145.0,0,31713,MountainCar-v0
ReLU,-150.0,0,31863,MountainCar-v0
ReLU,-143.0,0,32006,MountainCar-v0
ReLU,-147.0,0,32153,MountainCar-v0
ReLU,-149.0,0,32302,MountainCar-v0
ReLU,-194.0,0,32496,MountainCar-v0
ReLU,-183.0,0,32679,MountainCar-v0
ReLU,-113.0,0,32792,MountainCar-v0
ReLU,-172.0,0,32964,MountainCar-v0
ReLU,-151.0,0,33115,MountainCar-v0
ReLU,-166.0,0,33281,MountainCar-v0
ReLU,-141.0,0,33422,MountainCar-v0
ReLU,-144.0,0,33566,MountainCar-v0
ReLU,-171.0,0,33737,MountainCar-v0
ReLU,-151.0,0,33888,MountainCar-v0
ReLU,-155.0,0,34043,MountainCar-v0
ReLU,-158.0,0,34201,MountainCar-v0
ReLU,-150.0,0,34351,MountainCar-v0
ReLU,-149.0,0,34500,MountainCar-v0
ReLU,-87.0,0,34587,MountainCar-v0
ReLU,-150.0,0,34737,MountainCar-v0
ReLU,-159.0,0,34896,MountainCar-v0
ReLU,-155.0,0,35051,MountainCar-v0
ReLU,-88.0,0,35139,MountainCar-v0
ReLU,-149.0,0,35288,MountainCar-v0
ReLU,-136.0,0,35424,MountainCar-v0
ReLU,-97.0,0,35521,MountainCar-v0
ReLU,-115.0,0,35636,MountainCar-v0
ReLU,-185.0,0,35821,MountainCar-v0
ReLU,-147.0,0,35968,MountainCar-v0
ReLU,-132.0,0,36100,MountainCar-v0
ReLU,-143.0,0,36243,MountainCar-v0
ReLU,-152.0,0,36395,MountainCar-v0
ReLU,-140.0,0,36535,MountainCar-v0
ReLU,-116.0,0,36651,MountainCar-v0
ReLU,-143.0,0,36794,MountainCar-v0
ReLU,-146.0,0,36940,MountainCar-v0
ReLU,-150.0,0,37090,MountainCar-v0
ReLU,-138.0,0,37228,MountainCar-v0
ReLU,-144.0,0,37372,MountainCar-v0
ReLU,-152.0,0,37524,MountainCar-v0
ReLU,-129.0,0,37653,MountainCar-v0
ReLU,-110.0,0,37763,MountainCar-v0
ReLU,-135.0,0,37898,MountainCar-v0
ReLU,-152.0,0,38050,MountainCar-v0
ReLU,-152.0,0,38202,MountainCar-v0
ReLU,-86.0,0,38288,MountainCar-v0
ReLU,-109.0,0,38397,MountainCar-v0
ReLU,-182.0,0,38579,MountainCar-v0
ReLU,-112.0,0,38691,MountainCar-v0
ReLU,-136.0,0,38827,MountainCar-v0
ReLU,-111.0,0,38938,MountainCar-v0
ReLU,-188.0,0,39126,MountainCar-v0
ReLU,-106.0,0,39232,MountainCar-v0
ReLU,-109.0,0,39341,MountainCar-v0
ReLU,-96.0,0,39437,MountainCar-v0
ReLU,-188.0,0,39625,MountainCar-v0
ReLU,-110.0,0,39735,MountainCar-v0
ReLU,-152.0,0,39887,MountainCar-v0
ReLU,-152.0,0,40039,MountainCar-v0
ReLU,-110.0,0,40149,MountainCar-v0
ReLU,-112.0,0,40261,MountainCar-v0
